pesticide,crop
Captan 75% WP,Tomato
Captan 75% WP,"Tomato,"
Captan 75% WS,Cabbage
Captan 75% WS,Chillies (soil
Captan 75% WS,Tomato
Captan 75% WS,drench)
Carbendazim 46.27% SC,Grape
Carbendazim 46.27% SC,Mango
Carbendazim 5% GR,Paddy (Rice)
Carbendazim 50%WP,Apples
Carbendazim 50%WP,Ber
Carbendazim 50%WP,Brinjal
Carbendazim 50%WP,Chillies
Carbendazim 50%WP,Cluster Beans
Carbendazim 50%WP,Cow Pea
Carbendazim 50%WP,Cucurbits
Carbendazim 50%WP,Grapes
Carbendazim 50%WP,Mango
Carbendazim 50%WP,Moong
Carbendazim 50%WP,Peas
Carbendazim 50%WP,Tobacco
Carbofuran 03 % CG,Apple
Carbofuran 03 % CG,Bajra
Carbofuran 03 % CG,Banana
Carbofuran 03 % CG,Barley
Carbofuran 03 % CG,Bhindi (Okra)
Carbofuran 03 % CG,Brinjal
Carbofuran 03 % CG,Cabbage
Carbofuran 03 % CG,Chilli
Carbofuran 03 % CG,Citrus
Carbofuran 03 % CG,French bean
Carbofuran 03 % CG,Groundnut
Carbofuran 03 % CG,Jute
Carbofuran 03 % CG,Maize
Carbofuran 03 % CG,Mandarins
Carbofuran 03 % CG,Mustard
Carbofuran 03 % CG,Paddy (Rice)
Carbofuran 03 % CG,Pea
Carbofuran 03 % CG,Peach
Carbofuran 03 % CG,Potato
Carbofuran 03 % CG,Rice
Carbofuran 03 % CG,Sorghum
Carbofuran 03 % CG,Soybean
Carbofuran 03 % CG,Sugarcane
Carbofuran 03 % CG,Tea
Carbofuran 03 % CG,Tomato
Carbofuran 03 % CG,Wheat
Carbosulfan 06 % Granules,Rice (Paddy)
Carbosulfan 06 % Granules,Tea
Carbosulfan 25 % DS,Cotton
Carbosulfan 25% EC,Brinjal
Carbosulfan 25% EC,Chilli
Carbosulfan 25% EC,Cotton
Carbosulfan 25% EC,Cumin
Carbosulfan 25% EC,Rice (Paddy)
Carboxin 75% WP,Barley
Carboxin 75% WP,Cotton
Carboxin 75% WP,Tobacco
Carfentrazone ethyl 0.43% + Glyphosate 30.82% EW,Non-cropped
Carfentrazone ethyl 0.43% + Glyphosate 30.82% EW,Tea
Carfentrazone ethyl 0.43% + Glyphosate 30.82% EW,area
Carfentrazone ethyl 20% + Sulfosulfuron 25% WG,Wheat
Carpropamid 27.8% SC,Rice (Paddy)
Cartap Hydrochloride 04 % Granules,Cotton
Cartap Hydrochloride 04 % Granules,Rice (Paddy)
Cartap Hydrochloride 50 % + Buprofezin 10 % w/w WP,Rice
Cartap Hydrochloride 50 % SP,Rice (Paddy)
Cartap Hydrochloride 7.5 % w/w + Emamectin benzoate 0.25 %w/w GR,Chilli
Cartap Hydrochloride 7.5 % w/w + Emamectin benzoate 0.25 %w/w GR,Paddy (Rice)
Cartap Hydrochloride 7.5 % w/w + Emamectin benzoate 0.25 %w/w GR,Rice
Cartap Hydrochloride 7.5 % w/w + Emamectin benzoate 0.25 %w/w GR,Soybean
Cartap Hydrochloride 7.5 % w/w + Emamectin benzoate 0.25 %w/w GR,Sugarcane
Cartap Hydrochloride 7.5 % w/w + Emamectin benzoate 0.25 %w/w GR,Tomato
Cartap Hydrochloride 75 % SG,Rice
